Taxon,EPBC Act listed,NSW listed,WA listed,VIC listed,SA listed,QLD listed,TAS listed,ACT listed,Endemic NSW,Endemic SA,Endemic WA,Endemic VIC,Endemic QLD,Endemic TAS,Endemic ACT,All other taxa,Proportion of range map burnt,Proportion of SNES range map burnt (EPBC Act species only) ,Proportion of point locations burnt,high fire frequency ranking,cumulative fire risk ranking
Acacia auratiflora,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.87E-04,0,0,NONE,NONE
Acacia aureocrinita,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.206528877,NA,0.136363636,LOW,DD
Acacia auricoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NONE,NONE
Acacia auriculiformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.74E-04,NA,0,LOW,HIGH
Acacia auripila,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia auronitens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.007225115,NA,0,LOW,DD
Acacia ausfeldii,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04087428,NA,0,LOW,LOW
Acacia awestoniana,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.474105642,0.792329015,0.4,MEDIUM,DD
Acacia axillaris,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.014148893,2.91E-04,0,NONE,LOW
Acacia ayersiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00241108,NA,0,LOW,LOW
Acacia baeuerlenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20927075,NA,0.244897959,MEDIUM,DD
Acacia bakeri,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06890904,NA,0.016666667,LOW,DD
Acacia balsamea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia bancroftiorum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.006274847,NA,0.003745318,LOW,DD
Acacia barakulensis,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.00875,NA,0.214285714,MEDIUM,DD
Acacia barattensis,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia barbinervis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia barbinervis subsp. barbinervis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.012437782,NA,0.023255814,LOW,DD
Acacia barbinervis subsp. borealis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.020590992,NA,0.136363636,LOW,DD
Acacia barrettiorum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NONE,NONE
Acacia barringtonensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.434877473,NA,0.3,MEDIUM,DD
Acacia bartlei,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.003295455,NA,0,NONE,DD
